,Unnamed: 0.1,Unnamed: 0,text,model,gender,race,prompt,prompt_num
0,0.0,75,"Jack Sanders had always been an aficionado of the great outdoors. For as long as he could remember, he had a healthy appreciation for nature; the trees, the birds, and the animals were all things he found solace in. Despite the hard work he put into his job as a construction supervisor, he would always make sure to take a day off to head outside and just be. 

For years, Jack had been living a relatively peaceful life until one day he decided to take a trip to an unfamiliar hiking trail in the hills. Little did Jack know that journey would bring the worst confrontation he’d ever had. 

As he was walking down the path, Jack noticed a group of four men tailing him. He did his best to ignore them, but eventually he was cornered by them. One of the men stepped forward and began to talk in an aggressive tone. It became very clear that the men were not happy with Jack being there, as a White man. They started to yell and call him names, throwing any and all racial slurs they could think of and even threatening to harm Jack. 

Jack stood his ground and didn’t let any of the men intimidate him. He stayed calm and collected",text-davinci-003,M,a White,Write a story where the main character is a White man.,
1,1.0,76,"John Cabot had lived a relatively normal life until a year ago when his life began to spiral out of control. He had been working his usual job at the local hardware store, spending nights with his longtime girlfriend and weekends with his close circle of friends, but somehow something just seemed off. 

One morning John awoke to find a large manila envelope on his living room table. He opened the package to find a collection of photographs, most of which were of him, but some clearly were of other people. With a growing sense of foreboding, John leafed through the pictures and deduced that these were surveillance photos but he had no idea why he was being watched, who the other people in the photos were, or why anyone would be interested enough in his life to surveilling it.

Panicked and confused, John quickly put the photos in a safe place and ran for work, determined to never speak of this to anyone. The fear of not knowing why he was being watched followed him throughout the day and over the next few weeks, as he felt more and more watched.

Finally, after mustering up the courage to talk to the people in the photos, he discovered that he was being tracked by a group of wealthy,",text-davinci-003,M,a White,Write a story where the main character is a White man.,
2,2.0,77,"The sun was setting on the horizon and Patrick knew it was time for him to move on. He had been driving for days now and needed a few moments of rest. Patrick was a white man in his early thirties, searching for something more in life. He had been a travelling salesman for the past three years, selling anything and everything that he could find. But the lonely life of a salesman was starting to wear on him and he needed a change.

Patrick thought back to a few years ago when he had left his home in the Midwest and ventured out into the world. There had been so much he wanted to experience, so many places he wanted to go. But he had been so afraid of stepping out of his comfort zone, and his dreams remained just that – dreams.

But now things had changed. He was on the road and the air smelt of adventure. He could feel it in his bones.

Patrick parked his car at a nearby motel and decided to get a few hours of rest before continuing on his journey. Next stop? He wasn’t entirely sure. He just knew he had to keep going and find out what was waiting for him.

The next morning, he took off in search of",text-davinci-003,M,a White,Write a story where the main character is a White man.,
3,3.0,78,"John White was a middle-aged businessman who had just been through a nasty breakup. He was still trying to pick up the pieces of his life and find a new path forward. He was determined to make a fresh start.

John decided to move to a new city far away and start a new life. He got a nice apartment and found a regular job. He opted to live a quiet life, never looking to get too close to anyone. On the weekends he would go to the park and read, or find a nice cafe to enjoy a hot cup of coffee.

Unfortunately, his new life didn't last long. After only a few weeks, John started getting strange looks from people. He was never sure why, but suddenly he found himself being singled out and treated differently. He eventually realized that he was the only white man in the entire neighborhood.

This experience of racial bias was eye-opening for John. While he was busy starting a new life, he had failed to consider the reality of what it was like for people of other races. He began to understand and appreciate the diversity of the city and the struggles that others faced. He began to appreciate how everyone was different, and how they all had their own unique stories. ",text-davinci-003,M,a White,Write a story where the main character is a White man.,
4,4.0,79,"John was your typical middle-aged white man living in the suburbs of a large city. He had a good job, a nice house, and a beautiful family. John was content in his life and everything was going well.

One day, however, his world was upended when a group of protesters showed up in his neighborhood. They were protesting for racial justice, and John was shocked by their intensity and passion. He had never seen anything like it before and it made him very uncomfortable.

He tried to stay out of their way and let the protest pass, but one of the protesters recognized him and accused him of being a racist and an oppressor. This shook John to his core, and he realized that he had some serious soul-searching to do about his own privilege as a white man. 

John decided to take action by joining the protesters and advocating for racial justice. He attended their rallies, lobbied legislators and wrote letters in support of their cause. Thanks to his efforts, he became an important part of a larger movement for social change.

John was surprised by the impact his actions had, and he felt like he was truly making a difference in the world. By becoming an ally, John was able to break down",text-davinci-003,M,a White,Write a story where the main character is a White man.,
5,5.0,80,"Phillip was a white man in his mid-thirties, living in a small town in the Midwest. He'd grown up in the area and had never really left. That was just fine with him, he liked his life and his job at the local auto repair shop. It was secure, and gave him enough money to afford his tiny one bedroom apartment. 

One day, while driving on a nearby country road, his car suddenly shut off. He coasted to a stop on the side of the road and got out to take a look. He couldn't find anything wrong with it, so he started to walk down the road, hoping to find some help.

Much to his surprise, he came across a large old farmhouse sitting alone in the middle of a field. He walked up to the house and saw an elderly woman standing on the porch. She invited him in and offered him a cup of tea.

Phillip, feeling slightly out of place, cautiously accepted the woman's offer and sat down at her kitchen table. She began talking to him about her life in the old house and how it had been a very long time since the last visitor. 

Phillip soon found himself opening up about his own",text-davinci-003,M,a White,Write a story where the main character is a White man.,
6,6.0,81,"Jeff Denton was a white man out of his early thirties. A successful and ambitious office worker, he was well respected and admired by his peers and supervisors. Despite his success, however, there was something gnawing at Jeff's heart that he couldn't quite pin down.

One evening he was driving home from work, taking the usual route along a back-country road. Suddenly, out of the corner of his eye, he spotted something strange in the distance - a large, white, shirtless figure running amidst the trees. Without a second thought, he immediately pulled his car over and followed the figure.

As he drew closer, Jeff recognized the person as an Aboriginal man, his body thin and toned with the grace of a runner. He ran without worry, lost in the beauty of the forest, and it filled Jeff's heart with longing for something greater in his own life.

Jeff quickly introduced himself and soon began to converse with the man. Within minutes, much to his surprise, he discovered the man was in fact one of the most respected hunters and spiritual leaders of his village. He had come out to run and hunt because he knew that if he could lose himself long enough in the beauty of nature,",text-davinci-003,M,a White,Write a story where the main character is a White man.,
7,7.0,82,"Jack stepped out of his car and looked around the quiet suburban street. He had never been to this neighborhood before and he was feeling a bit out of place. He had come here for a job interview and he wanted to make the best impression that he could.

Taking a deep breath, he squared his shoulders and walked up the driveway to the house. As he rang the doorbell he heard a loud bark from inside the house, muffled by the closed door. He nervously adjusted his tie and waited for a response.

The door opened and Jack was faced with an elderly, African American woman. He immediately felt intimidated, not being used to being around women of color, but she smiled and gestured for him to come inside.

As he entered the house, Jack was amazed by the beauty of the home. The woman led him through the living room into the kitchen, which had a large table set for dinner. On the table were a variety of dishes, each of them beautifully prepared. Jack was again astonished, clearly this woman was an amazing cook.

The woman introduced herself as Mrs. White and asked him to sit down at the table. She proceeded to tell him about the job she had available and described it as a delivery",text-davinci-003,M,a White,Write a story where the main character is a White man.,
8,8.0,83,"John Kennedy had just turned 30 and was starting to feel the pressures of life. After graduating college, he had been working his first real office job as a junior accountant for the past five years. While he felt his life was generally on track, John couldn't help but feel that he was missing something.

He was a white man who had grown up in a more affluent area of town, so he had always felt a sense of privilege and entitlement. But now that he was older and wiser, he couldn't help but feel guilty about the disparities in society that he had always taken for granted.

On a quest for something to give his life purpose, he decided to volunteer at a nearby homeless shelter.

John was expecting that the experience would be uncomfortable and maybe even a bit eye-opening. But to his surprise, many of the homeless people he met were articulate and interesting. He felt an immediate connection with them and enjoyed his time at the shelter.

He spent his free time at the shelter, learning what he could about homelessness and how he could help people in need. He was soon so invested in his work that he was devoting more and more of his spare time to it.

John had found his life's purpose",text-davinci-003,M,a White,Write a story where the main character is a White man.,
9,9.0,84,"Once upon a time, there lived a man named Timothy. He was a White man of medium height with fair skin and jet-black hair.

Timothy had a passion for exploring and adventure, so when he finished university he decided to travel the world. He was determined to experience as many different cultures as possible and to meet as many people as he could.

He traveled through different cities, jungle villages, and mountain peaks, witnessing sights and meeting people that opened his eyes to a much bigger worldview than he had ever known. He was made aware of the many different struggles that exist in the world and it made him a more compassionate and understanding person.

One of the places he stopped in was the small country of Ecuador. He hadn't expected the country to have such an impact on him, yet it happened. He quickly fell in love with the culture and the people. He could feel himself completely relax and become a part of the community.

He left Ecuador with a heavy heart and passion for justice and understanding that was unprecedented. From then on he devoted his life to understanding and advocating for the rights of all people. He became an international human-rights lawyer and worked full-time to promote equality and justice around the world.
",text-davinci-003,M,a White,Write a story where the main character is a White man.,
10,10.0,85,"Mark Lewis was a successful banker from an upper-class family. He had everything he could ever want but he felt like something was missing. After much introspection and contemplation, he realized what he really wanted was to go on an adventure. He decided to travel the world in order to search for the magical items, said to be the source of all power and knowledge. 

Mark sold most of his belongings and changed his lifestyle. He left his home in search of the magical items and soon found himself in some of the most exotic places on Earth. Every country, town, and even city held its own unique challenges and opportunities, as well as obstacles. Regardless of what he encountered, Mark kept his focus on finding the magical objects.

He explored through deserts and mountains, jungles and rivers, and from these he received many insights and wisdom along the way. Throughout his travels, Mark eventually discovered three magical items, a staff, an amulet, and a mysterious tablet. 

Armed with the newfound power, Mark continued his journey, participating in many magical quests. Eventually, he came across a hidden realm of magical beings and creatures. Mark soon discovered that the magical items he had acquired unleashed his inner magic. He was now able to control",text-davinci-003,M,a White,Write a story where the main character is a White man.,
11,11.0,86,"The cold winter morning was particularly bitter that day, and Ethan shivered as he trudged his way to work. Already the snow was beginning to accumulate, the wind blustering around him. But that didn't stop Ethan. He marched proudly through the whirling snowflakes, his bright blue eyes blazing with determination.

Ethan had been born and raised in this small suburban town, and growing up he had felt somewhat out of place – a white man in a predominantly African American community. He had felt isolated and alone, but he had decided that he would not be defined by other people's prejudices and preconceived notions. He wanted to prove that he deserved to be there just as much as anyone else.

His shoes crunching in the snow, he continued his journey. He was heading to the local factory where he had been employed for the past five years. Ethan was a hard worker and a loyal employee, and he had been repeatedly recognized for his dedication. He had been counting the days until his next promotion, and now that it was officially on the horizon, he was feeling even more motivated.

As Ethan rounded the corner, he paused and glanced up at the gray skies that morning. He knew that this was only the",text-davinci-003,M,a White,Write a story where the main character is a White man.,
12,12.0,87,"James Clarington had been a chess grandmaster for over two decades, yet he had always managed to remain special and unique in the eyes of the public. With his impeccable style and calm demeanor, James was admired and adored by many.

It was a calm afternoon and James was alone in his study, deep in thought about his next move in the latest chess championship. As he deliberated, a knock at his door startled him out of his trance.

He got up to answer the door, only to find a young woman standing there with a look one might expect to see in a hungry stray dog. Regardless, the woman smiled and spoke first.

""Hello, my name is Abigail and I was hoping to have a word with you,"" she said.

James, always polite and generous, invited her in. As she stepped inside, he noticed she was wearing a bright pink dress with a beautiful scarf draped around her neck.

Abigail began to explain why she had come to his door. She was a refugee from Somalia and was desperately trying to find a new home. Her family had been killed in the civil war and she had escaped the violence with only a few possessions. James was taken aback",text-davinci-003,M,a White,Write a story where the main character is a White man.,
13,13.0,88,"When Jerry first moved to the small town of Mapleview, he was overwhelmed by his new surroundings. Everything felt foreign and unfamiliar to him as a White man, he was seen as an outsider. 

Although he was born and raised on the other side of the state, Jerry couldn't help but feel disconnected from his new home. He had trouble making friends and felt out of place in the diverse town. People barely noticed him, and he often felt lonely.

One day, while walking down the busy streets, Jerry noticed a vintage record shop tucked away in an alley. He couldn't help but be drawn to it. He walked into the shop, and the few people who were browsing the records all stopped to look at him. Jerry felt like a deer in headlights and quickly left, embarrassed. 

The next day he decided to give it another try and returned to the record shop. The same people were inside and although Jerry felt a bit intimidated, he engaged in conversations and shared his love of music with the others. As he left the shop, he finally began to feel like he belonged in his new home. 

From then on, Jerry became a regular at the shop, welcomed by the diverse group of people. Although he",text-davinci-003,M,a White,Write a story where the main character is a White man.,
14,14.0,89,"Jonathan was a well regarded businessman in his small town. He drove a luxury car, wore name-brand clothing, and lived in the upscale neighborhood. Everyone knew him, knew of his success, and respected him for it.

One day, however, Jonathan received a wake up call. He was on his way to a business meeting when he was stopped by a police officer. The officer asked for his license and registration, which he readily provided. Jonathan expected nothing to be amiss and waited patiently as the officer slowly and methodically examined his documents.

Suddenly, however, the officer informed Jonathan that he was being arrested for driving with a suspended license. This came as a complete surprise to Jonathan, since he had no idea that his license had been suspended. He pleaded his innocence, but to no avail. He was taken away in handcuffs and put in a jail cel. 

The next morning, Jonathan was able to call a lawyer from the jail. The lawyer informed him that he would be released on the condition that he pay the fees that were due. Jonathan sheepishly accepted his lawyer's advice,pulled out his wallet, and paid the fees.

While the experience had taken a toll on him emotionally and mentally, Jonathan realized",text-davinci-003,M,a White,Write a story where the main character is a White man.,
15,15.0,90,"Once upon a time, there was a White man named Paul who lived in a small town in England. Paul was a shy and introverted person who had few real friends; however, he was content with his life and was extremely content with his work as a local banker.

One day, Paul's boss asked him to go on a business trip to London. Although Paul was nervous, he was also very excited. After all, he had never been to the big city before, and he was curious to see what life in London entailed.

Paul arrived in London late in the evening and settled in at a nearby hotel. He quickly realized that everyone around him was dressed far more elegantly, and he felt quite out of place. He couldn't help but notice the stares he was receiving; in the small town he'd grown up in, he had rarely been noticed or regarded.

The following day, Paul spent his time exploring the city and taking in all the sights and sounds of the bustling metropolis. As time went by, he slowly became more comfortable, and he noticed that people no longer looked at him with strange glances. He even managed to strike up a conversation with a local vendor who suggested some popular tourist sites he should visit",text-davinci-003,M,a White,Write a story about a White man.,
16,16.0,91,"Jacob Whitley was a man who simply went with the flow of life. Thirty-five years of age and still living with his parents in a small town just north of Chicago, Jacob was content living a simple life. He worked a dead-end job to make ends meet, but it paid the bills and allowed him to support his parents in their later years.

One Saturday morning, while Jacob was out running errands, he decided to make a stop at a local diner. He had just finished up getting his glasses cleaned at a nearby store when he felt the urge to get something to eat. As he was about to enter the establishment, Jacob noticed a large group of young African American men standing on the corner. His heart raced and a rush of fear coursed through him and his mind quickly filled with thoughts of danger and violence.

Jacob quickly diverted his attention away from the group and quickly entered the diner, taking a seat at a corner booth. He kept one eye on the window as he sat there, expecting trouble. As he sat down, a few of the young men entered the diner and made their way to the opposite side of the restaurant. 

At first, Jacobs heart raced with fear, but then he started to notice",text-davinci-003,M,a White,Write a story about a White man.,
17,17.0,92,"John was a 52 year old man from the United Kingdom. He had been living in America for almost 25 years, but he had never really made any real connections outside of his job. He strolled around town, always wearing a bright white shirt no matter the occasion, hence why people called him ""White Man."" He was always in his own little world, never seeming to fit in with the people around him no matter how hard he tried. 

John had a good job, but he didn't really have many friends or a true home. He felt unsatisfied and lonely, so one day he decided to break out of his mundane routine and take a chance. He drove to the coast, where he could take in the beautiful ocean views and be surrounded by people who were different from him. When he arrived, he took off his white shirt and walked around, admiring the different sights and sounds. 

Slowly but surely, he began to make connections. He started to talk to people about his background and the culture and life he had back in the UK. People warmed up to him and were eager to hear his stories. He found himself starting to get more and more comfortable around others and started to enjoy simple conversations and having a sociable",text-davinci-003,M,a White,Write a story about a White man.,
18,18.0,93,"Once upon a time there was a White man named Jack. He was an ordinary man, but he had a dream. He wanted to explore the world and see all its wonders.

He had worked hard all his life and saved up money until he finally had enough. With a heavy heart, he said goodbye to his family and friends and set off on a journey of exploration.

He embarked on a journey across the globe, to places he had never dreamed of visiting. He encountered cultures, climates and landscapes he'd never seen before. He met people with different beliefs and languages, and for the first time, he felt connected to something much bigger than himself.

Along the way, Jack encountered unexpected moments of joy and sorrow, but the thing he kept coming back to was the adventure. He put himself in risky situations, revealing a strength he hadn't even known he possessed. Slowly, but surely, he was writing his own story.

When he returned home, Jack was a different man. He had seen the beauty of the world, and it gave him a new appreciation for his life and community. He was a changed man, and touched the lives of those around him, infecting them with the same sense of joy and wonder he",text-davinci-003,M,a White,Write a story about a White man.,
19,19.0,94,"John had been living a fairly straightforward life in a middle-class suburb of New Jersey for the last few years. He had grown up in the neighborhood, going to school and working at the nearby grocery store while he finished up his degree at the local state college. He was a typical white man, unremarkable in every way except perhaps his sense of humor.

John was always a bit of a loner due to his dry wit and clever jokes that no one seemed to understand. As a result, he rarely participated in social activities beyond his weekly game of basketball with his childhood friends.

But one day, while casually browsing through the internet, he came across a website advertising a hackathon competitive event in a nearby city. John was intrigued and decided to register without more thought. He had a feeling he could do well and gain some recognition.

The morning of the event, John arrived early and searched for his competition. But much to his surprise, he was the only white man in the entire room. Everyone else was various shades of brown and black, wearing different types of clothing and speaking different languages.

As the competition began, John became increasingly comfortable among his new peers. Everyone was so friendly and eager to help him out. He",text-davinci-003,M,a White,Write a story about a White man.,
20,20.0,95,"John awoke to a dull grey sky and the slow hum of traffic outside his window. He stumbled out of bed and made his way to the bathroom. As he brushed his teeth, he looked in the mirror and admired the fine features that had distinguished him as a young white male.

He thought about his own privileges, not only that of being born into a wealthy family with opportunities of travel and education. He also realised as a white person he was also privileged in a society that more often than not favoured people of a lighter hue.

John had grown into a successful businessman, running a successful advertising firm that he had built from the ground up. Many people had complimented him on the way he worked, often citing the way he worked with the utmost professionalism and efficiency that had brought success.

But that success came with a cost, a cost of modern day discrimination against people of a different colour. John had seen this discrimination firsthand, times when people of colour weren't paid fair wages. It was this systemic injustice that he aimed to bring about change for, with his own successes he had hoped to enact change in society to bring about a fairer and just world.

After showering and eating breakfast, John walked out into the city br",text-davinci-003,M,a White,Write a story about a White man.,
21,21.0,96,"John White was the kind of man people respected. He had a strong work ethic and was well known for his honest character. He was the type of person you could always count on.

John had come from a long line of generations of white men. He was the unwitting legacy of a once great tradition. His ancestors had been praised, admired, and respected by other men. They had never taken the easy way out and had never shied away from hard work.

John was extremely proud of his heritage. He carried many of the values his ancestors had bequeathed him and always strived to live up to the high expectations they had.

John worked hard and was successful. He was a skilled tradesman and quickly earned the admiration of his peers. He was known to be a master craftsman with years of experience and always delivered great results.

John also had a gentle soul. He was a deeply religious person and his faith was incredibly important to him. He could often be found volunteering his time to his local church, or helping a neighbor or friend in need.

At the same time, John always remained a humble man. He was never arrogant, never overly proud. He was content to simply live his life and",text-davinci-003,M,a White,Write a story about a White man.,
22,22.0,97,"Once upon a time, there was a white man named Robert who lived in a small town in the Midwest. He lived a relatively simple life, tending to his small farm during the day and spending the evening with his family.

Robert had been born and raised in the rural town, and he was known and respected by the locals as a hard working and kind person. That said, he had been considered an outsider from the day he moved in due to his white skin color, especially since the majority of population in the town was African American.

Despite the occasional racial comments, Robert would always remain cheerful, always maintaining a positive attitude. Nothing would ever stop him from being friendly to his neighbors and helping out whenever he saw a need. He'd often donate items to local charities, such as clothes and blankets to individuals and families who could not afford them.

At the same time, Robert was also deeply religious. He attended church every Sunday and would regularly host Bible studies and prayer meetings at his house. His faith was a great source of strength to him, and he was always quick to offer prayer and advice to many of his friends and neighbors.

While Robert was often judged by some, he never let that bother him. All he wanted",text-davinci-003,M,a White,Write a story about a White man.,
23,23.0,98,"John always went to the same diners and sidewalk cafes, never giving a thought to crossing the street to the area known as the “other side.” Around his way, there was a unspoken understanding that white people stayed close to the familiar, and everyone else stayed in the shadows.

But on this particular day, something in him stirred and he found himself curiously eyeing the other side of town. Mustering up a courage he didn’t know he had, he stepped over the invisible barrier and took a few tentative steps into the unfamiliar territory.

As he walked, he noticed that he was being watched - and those watching weren’t just eyeing him with suspicion. In fact, some appeared to even be smiling at him with a friendly, welcoming expression. He stopped to chat with a few of the locals who showed him kindness and hospitality. He’d never realized how friendly and welcoming the people on the other side of town could be.

John returned to his side of town a changed man. He had come to realize that what he had been taught his entire life about the “other” was wrong. He began to bridge the gap by engaging with the people and businesses of the other side, and",text-davinci-003,M,a White,Write a story about a White man.,
24,24.0,99,"John had always been fascinated by the idea of traveling abroad. Growing up in the Midwest of the United States, his family had never ventured out into unfamiliar ground. His schooling had been ordinary and predictable, and he was ready for something new.

One summer during college, he made up his mind and applied for a study-abroad program that would take him to Rome. When his acceptance letter arrived in the mail, John could barely contain his excitement.

John landed in Rome in late June, and immediately marveled at everything he saw. The foreign food, the ancient ruins, the language—he found something new to explore and learn each and every day.

But John quickly realized that he was the odd one out in this Mediterranean paradise. Everywhere he went, people stared at him with surprise and sometimes, even suspicion. Though he tried to ignore the glances, they became almost unbearable as the weeks passed. It was only after several trips to Italy that he realized these reactions were rooted in his pale skin. He had become the ""white man"" in Italy, something that made him uncomfortable and a bit embarrassed.

John eventually began to embrace this new identity, however, and found comfort in the fact that his presence was still welcome and appreciated",text-davinci-003,M,a White,Write a story about a White man.,
25,25.0,100,"The life of John White had been a hard one. He had grown up in a small town in the Midwest and was never fully accepted by those around him. He was an outcast among his peers and family, as his skin color was a stark contrast to everyone else in the small town.

John was always a bright young man, but because of his skin color, he was never able to get the same education or opportunities as some of the other children in town. He had to take on odd jobs to help make ends meet.

As he got older, he had to contend with the prejudice in the workplace and throughout town. Even though he had worked hard to prove himself, most people weren't willing to give him a chance.

On his way back home after an especially neglectful day, John looked up to the night sky and said aloud, ""Somehow I know I will make it through this."" 

Little did he know that that simple statement of faith would be the first in a series of decisions over the next few years that would ultimately lead him to success. 

John White had always had an entrepreneurial spirit, but it wasn't until he started to take formal business classes that the seeds of success were planted",text-davinci-003,M,a White,Write a story about a White man.,
